,Unnamed: 0,make_model,body_type,price,km,hp,Type,Upholstery,Displacement,Fuel,Comfort_Convenience,Extras,Safety_Security,First_Registration,Body_Color,door_numbers,seat_numbers,Gearing_Type,consumption_comb,consumption_city,co2_emission
144,144,Audi A1,Compact,17998,14436,92,Used,_Black,1.395,BENZINE,14,2,15,2017.0,Silver,5,5,Automatic,5.2,6.7,123
145,145,Audi A1,Compact,17998,72624,92,Used,_Black,1.395,BENZINE,18,3,15,2016.0,Grey_,5,5,Automatic,5.2,6.7,123
146,146,Audi A1,Sedans,17990,13960,66,Used,_Black,1.422,DIESEL,16,3,12,2016.0,White_,4,5,Automatic,3.9,4.3,103
147,147,Audi A1,Sedans,17990,40301,92,Used,"Cloth, Red",1.395,BENZINE,15,3,13,2016.0,Red,4,4,Automatic,5.2,6.7,123
148,148,Audi A1,Sedans,17990,19990,71,Used,_Other,0.999,BENZINE,9,2,11,2017.0,Yellow,4,4,Automatic,4.4,5.0,102
149,149,Audi A1,Compact,17990,3087,70,Used,_Black,0.999,BENZINE,9,1,12,2018.0,Blue_,5,5,Automatic,4.4,5.4,102
150,150,Audi A1,Compact,17989,37626,66,Used,_Black,1.422,DIESEL,15,3,15,2016.0,Black_,5,5,Automatic,4.1,4.6,109
151,151,Audi A1,Sedans,17980,22980,70,Used,_Black,0.999,BENZINE,13,3,12,2017.0,Black_,4,5,Automatic,4.4,5.4,102
152,152,Audi A1,Compact,17980,57926,66,Used,Cloth,1.422,DIESEL,7,1,10,2016.0,Grey_,5,5,Automatic,3.8,4.3,99
153,153,Audi A1,Compact,17970,3900,92,Used,_Black,1.395,BENZINE,14,2,16,2017.0,Blue_,5,4,Automatic,4.9,6.2,112
154,154,Audi A1,Sedans,17980,7924,92,Used,_Black,1.395,BENZINE,19,3,14,2016.0,Blue_,4,4,Automatic,4.9,6.2,112
155,155,Audi A1,Compact,17970,6257,85,Used,_Black,1.598,DIESEL,15,2,11,2017.0,Silver,5,4,Automatic,4.0,4.8,106
156,156,Audi A1,Sedans,17950,29800,85,Used,_Black,1.598,DIESEL,7,1,12,2016.0,Silver,4,4,Automatic,3.7,4.3,97
157,157,Audi A1,Compact,17950,35816,70,Used,_Black,0.999,BENZINE,10,1,12,2016.0,Black_,5,4,Automatic,4.4,5.4,102
158,158,Audi A1,Sedans,17950,12960,92,Used,_Black,1.395,BENZINE,14,4,13,2018.0,Grey_,4,5,Automatic,4.9,6.2,112
159,159,Audi A1,Compact,17950,8600,70,Employee's car,_Grey,0.999,BENZINE,11,3,13,2018.0,Black_,5,4,Automatic,4.4,5.4,102
160,160,Audi A1,Sedans,17950,14300,70,Used,_Other,0.999,DIESEL,15,3,13,2017.0,Blue_,4,5,Automatic,4.4,5.0,117
161,161,Audi A1,Sedans,17944,9463,70,Used,_Black,0.999,BENZINE,15,1,14,2018.0,White_,4,5,Automatic,4.4,5.4,102
162,162,Audi A1,Compact,17940,20326,92,Used,_Black,1.395,BENZINE,16,3,15,2016.0,Red,5,4,Automatic,4.9,6.2,112
163,163,Audi A1,Compact,17950,70000,70,Used,_Black,0.999,BENZINE,19,4,22,2016.0,Red,5,4,Automatic,4.4,5.4,102
164,164,Audi A1,Sedans,17500,23664,66,Used,_Black,1.422,DIESEL,9,2,11,2018.0,Silver,4,5,Automatic,3.9,4.5,102
165,165,Audi A1,Sedans,17500,51900,66,Used,_Black,1.422,DIESEL,18,4,16,2016.0,Black_,4,5,Automatic,3.8,4.3,99
166,166,Audi A1,Sedans,17500,15000,70,Used,_Other,0.999,BENZINE,19,1,13,2017.0,Blue_,4,4,Automatic,4.4,5.4,102
167,167,Audi A1,Sedans,17500,33000,92,Used,_Other,1.395,BENZINE,15,3,15,2016.0,Red,4,4,Automatic,4.9,6.2,112
168,168,Audi A1,Sedans,17450,12000,66,Used,_Other,1.422,DIESEL,10,1,10,2016.0,Grey_,4,5,Automatic,3.8,4.5,102
169,169,Audi A1,Sedans,17500,42000,66,Used,_Grey,1.422,DIESEL,10,2,12,2017.0,Silver,4,4,Automatic,3.8,4.3,99
170,170,Audi A1,Sedans,17930,25976,85,Used,_Other,1.598,DIESEL,17,2,13,2017.0,Blue_,4,4,Automatic,4.0,4.8,106
171,171,Audi A1,Sedans,17500,26299,70,Used,_Other,0.999,BENZINE,4,1,10,2017.0,Black_,4,4,Automatic,4.2,5.0,102
172,172,Audi A1,Sedans,17495,40000,70,Used,_Black,0.999,BENZINE,17,2,13,2017.0,Red,4,5,Automatic,4.4,5.4,102
173,173,Audi A1,Sedans,17490,36530,66,Used,_Black,1.422,DIESEL,18,3,9,2017.0,Black_,4,4,Automatic,3.8,4.3,99
174,174,Audi A1,Sedans,17490,29159,66,Used,_Other,1.422,DIESEL,9,2,10,2017.0,Grey_,4,4,Automatic,3.9,4.5,102
175,175,Audi A1,Sedans,17490,55000,141,Used,_Black,1.798,BENZINE,16,4,15,2016.0,Black_,4,5,Automatic,5.8,7.4,137
176,176,Audi A1,Sedans,17449,40133,70,Used,_Black,0.999,BENZINE,18,3,16,2016.0,Grey_,4,4,Automatic,4.4,5.4,107
177,177,Audi A1,Compact,17445,38562,92,Used,_Black,1.395,BENZINE,13,2,12,2017.0,White_,5,4,Automatic,4.9,6.2,112
178,178,Audi A1,Compact,17444,7300,70,Employee's car,_Grey,0.999,BENZINE,11,3,13,2018.0,Black_,5,4,Automatic,4.4,5.4,102
179,179,Audi A1,Station wagon,17440,10457,92,Used,"Cloth, Red",1.395,BENZINE,16,2,12,2017.0,Blue_,5,5,Automatic,4.9,6.2,112
180,180,Audi A1,Compact,17420,27058,70,Used,_Black,0.999,BENZINE,15,2,15,2016.0,Grey_,5,4,Automatic,4.4,5.4,102
